"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TRABD",2.17347694781452e-05,0.845782318122485,0.267,0.13,0.500225719539512,"14","TRABD"
"ATP5MC2.7",2.21340485672039e-05,-0.916627505857194,0.218,0.43,0.509415127774198,"14","ATP5MC2"
"CCNI.6",2.27788723788404e-05,-1.08137126280918,0.248,0.428,0.524255747799012,"14","CCNI"
"SKP1.4",2.37272241827738e-05,-1.07205311095941,0.168,0.359,0.546082064566539,"14","SKP1"
"RPL26.11",2.5539115732903e-05,-0.572543865271661,0.703,0.792,0.587782748592762,"14","RPL26"
"PRKCB.8",2.64705843938711e-05,-1.15737397642469,0.099,0.287,0.609220499824943,"14","PRKCB"
"MT-CO1.8",2.74349612655663e-05,-0.32101427992224,0.97,0.931,0.631415633527008,"14","MT-CO1"
"RPS3.11",2.7627340931408e-05,-0.685643710474584,0.683,0.793,0.635843251536355,"14","RPS3"
"ATP6V0C.11",2.92684256367421e-05,-1.21880713883465,0.178,0.359,0.673612816029619,"14","ATP6V0C"
"STK17B.10",3.06643145798536e-05,-0.860282598886288,0.109,0.309,0.70573920005533,"14","STK17B"
"TYMP.12",3.4975620659392e-05,-1.58318116900146,0.158,0.328,0.804963909475907,"14","TYMP"
"PCBP2.7",3.60139937458025e-05,-0.777320472107002,0.267,0.457,0.828862066059646,"14","PCBP2"
"MYL6.8",4.54355849345069e-05,-0.731965089402717,0.406,0.631,1,"14","MYL6"
"EIF4G2.6",4.69380407784773e-05,-1.03075308914629,0.099,0.278,1,"14","EIF4G2"
"HERPUD1.3",5.46915999292057e-05,0.740233639295717,0.317,0.171,1,"14","HERPUD1"
"RPS28.12",5.72268332685811e-05,-0.533194556984048,0.743,0.85,1,"14","RPS28"
"RPLP0.12",5.89714977306405e-05,0.754261777542776,0.644,0.526,1,"14","RPLP0"
"ATP6V1G1.3",6.39425952625788e-05,-0.92131177753746,0.149,0.333,1,"14","ATP6V1G1"
"YWHAZ.4",6.68443409653733e-05,-0.881677737303357,0.248,0.438,1,"14","YWHAZ"
"CD53.7",7.61934609213037e-05,-0.844443298018203,0.149,0.343,1,"14","CD53"
"EIF3E.11",8.2015336573597e-05,-1.01112505039896,0.178,0.356,1,"14","EIF3E"
"NACA.9",9.16721051916497e-05,-0.644112585881367,0.535,0.689,1,"14","NACA"
"HCLS1.9",9.46218386091725e-05,-1.08553653375738,0.109,0.278,1,"14","HCLS1"
"ADGRE5.11",9.96198991510375e-05,-1.3371402982616,0.109,0.269,1,"14","ADGRE5"
